blockchain,token_pair,pool_address,unique_key,uni_portion,total_volume,uni_volume
ethereum,smArT-WETH,0xce11538c986b82e15e0590ca91ee7b30296e107f,0x695964c25decccb49ee0d0afb0c41c97d9a7f88e-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,2328.0574817459706,2328.0574817459706
ethereum,WETH-比特人生,0x3e0333a564746d64f9122364d5231373eb23959f,0x69c328eeb40a655ac4c73ba40c19ab396319fa75-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,1138.8374154409103,1138.8374154409103
ethereum,hope-WETH,0x22e93213e8e75f1121e2cd532d1dd9fd4e50741f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xfb57a5e307aefb3e49aa83e1a2ecaba475a0b900,1,2566.549265162394,2566.549265162394
ethereum,Kendu-WETH,0x1474c1fa8078edeeeb9753d76526c142158f3236,0xaa95f26e30001251fb905d264aa7b00ee9df6c18-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9999999994465778,2013851.4632327857,2013851.4621182757
ethereum,SPEC-WETH,0xacda7e4d5025ee4dd87d2ff75ecf6d69e921cee3,0xadf7c35560035944e805d98ff17d58cde2449389-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,53523.194746400666,53523.194746400666
ethereum,SOTU-WETH,0xdfe12fde2e543a14d26d57d65d3d8632b86d0e6f,0xa91c82b6933105c23298e631a0c1be751d239162-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,62754.733413005066,62754.733413005066
ethereum,EQUALITY-WETH,0x8a8f1dc05e301d69582e15042646781ee7900445,0x69cba7884170ebdbaf4f7b92516d974d523e77d5-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,1761.770070021548,1761.770070021548
ethereum,RAIN-WETH,0x30d7c134a9e7477dac13ded746c23c6e666f22b4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xe3944ab788a60ca266f1eec3c26925b95f6370ad,1,80970.15228722333,80970.15228722333
ethereum,bitstream-WETH,0x49d8589d7aee116913ebbafae35dff6ae88072ad,0x690fa574ad0c73e3cf7a9854f68aaeb180008e44-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,26553.160880030096,26553.160880030096
ethereum,REACT-WETH,0x049c93b241021cffb1c0d78b2b5bec0aff34e488,0x5188f901f7d75867eb75a953ea1803441804c181-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,4009.526373529446,4009.526373529446
ethereum,V神-WETH,0xbb61aa5d6e5f1dd6a253b1271fd16a94361cf32c,0x694d034479744f60cda9bfe070b6782d4f775195-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,140900.7279326289,140900.7279326289
ethereum,fusaka-WETH,0x3b6ffaf29de8402cb7b820cc8c711a2f5173c33b,0x69d23ff3cf673f4a2a262d6522fe14876826a46f-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,74033.25323178865,74033.25323178865
ethereum,JESUS-WETH,0x13dab34047ec793d4628bd4c5c0ea47e6d433841,0xba386a4ca26b85fd057ab1ef86e3dc7bdeb5ce70-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,610233.1251903313,610233.1251903313
ethereum,EURA-WETH,0x9496d107a4b90c7d18c703e8685167f90ac273b0,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,63407.87289476605,63407.87289476605
ethereum,OKB-WETH,0xf3d15274772f40f65673fd35c665dcf7d6c27e8f,0x75231f58b43240c9718dd58b4967c5114342a86c-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9995985691988364,266501.31598806474,266394.3341512765
ethereum,SIR-WETH,0xd632204b44ddf050019676be26f23adfc539dbaa,0x4da4fb565dcd5d5c5db495205c109ba983a8aba2-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,24690.543104020577,24690.543104020577
ethereum,H420-WETH,0xda703fd3617535948d651c3c45b4624c2b5f6d5c,0xaa26754dd0c8310cb70f3b66daeab52c8cff3c30-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,2985.549795841736,2985.549795841736
ethereum,CNG-WETH,0xfab26cfa923360ffc8ffc40827faee5500988e9c,0x5c1d9aa868a30795f92fae903edc9eff269044bf-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,4433.669815702862,4433.669815702862
ethereum,AP-WETH,0x06be1c47ee1c988f6aa97e01abcb8a6b4aa69f8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xe60e9bd04ccc0a394f1fdf29874e35a773cb07f4,1,938750.3784112656,938750.3784112656
ethereum,MORPH-TITANX,0x6383f1218bddc232026edaf33450f127d6b54d8e,0x4687f007da484efe20d7a17e5b1d105cdbfca0eb-0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,1,5863.693036920298,5863.693036920298
ethereum,beraSTONE-WETH,0x6dcba3657ee750a51a13a235b4ed081317da3066,0x97ad75064b20fb2b2447fed4fa953bf7f007a706-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,1152870.8225054052,1152870.8225054052
ethereum,USDC-WBTC,0x026babd2ae9379525030fc2574e39bc156c10583,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.90510310770644,2215056128.416265,2004854185.5737567
ethereum,MASTERCOIN-WETH,0xf9f2c6a6835c66192ea8a4b27405cee95d19e7db,0x6945371a51e8d9be494862231c0cb75793a13180-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,818868.9549573123,818868.9549573123
ethereum,QQQAI-USDT,0x6a6417e6e6eb237a5782ad5d3ea8dd2728c1832a,0xa91d704b6eda6e207413bb888bd1b00e3037dd24-0xdac17f958d2ee523a2206206994597c13d831ec7,1,22410.616325340554,22410.616325340554
