# Token pairs extracted from pools.csv
# Format: token0,token1
0x00000000000007c8612ba63df8ddefd9e6077c97,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000000c5dc95539589fbd24be07c6c14eca4,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a
0x0000000000c5dc95539589fbd24be07c6c14eca4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000000c5dc95539589fbd24be07c6c14eca4,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000038247f0433f33966c2171a5ad67892a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000004cf5f43a0363a55ec2dca691e398f50,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000000000503be77a5ed27bef2c19943a8b5ae73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000000001326d79898524c0129e38897d01a47fc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000015955ad460c94eb77152ca0bd696d553,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000030847b09b3d1d16a85fdc70717d13fb8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000368492117fa481beee75d4eb39e25bd8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000045cfbc94c3d18c1ee5d3755e25ca722c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000047c33cf8b5531d6b38d762763e47cf65,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000049087f3c7cefe8fa19c593da11540fa0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000000006aed1f173905919729e44f0d7b5c0cb7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000081b714395b43259829cca8bc600f78d0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000914a8f4f1b79b5de6d324ca64350970d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000955797642509d525b33922dbb191cf93,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000a15fe6875e700d7c1ebbca2367219955,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000a9964d8fd2b3704bba1c3193431d3b98,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000ac69b40134e31f02fb411703f51e7f43,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000bdc126a7d8d0a6d3844843959fffa423,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000dc4d50275f55e47f596dac6061c04e0a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000e6f46442b287ed48e4db9d5c7c652dae,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000e88649dd6aab90088ca25d772d4607d0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000ed2f49bb097e6d6085e161b74cf146b3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000206329b97db379d5e1bf586bbdb969c63274,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8
0x0000369250e9079822a0c0828919d42516b60000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0001a500a6b18995b03f44bb040a5ffc28e45cb0,0xdac17f958d2ee523a2206206994597c13d831ec7
0x00869e8e2e0343edd11314e6ccb0d78d51547ee5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00f116ac0c304c570daaa68fa6c30a86a04b5c5f,0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1
0x00f3c42833c3170159af4e92dbb451fb3f708917,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0102b5a737930bfe599c2e48922e0c795eb9de3c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x01791f726b4103694969820be083196cc7c045ff,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x01791f726b4103694969820be083196cc7c045ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x01791f726b4103694969820be083196cc7c045ff,0xdac17f958d2ee523a2206206994597c13d831ec7
0x025ac2908cb0e4c863a5bcecae7f682c34ecd61e,0xdac17f958d2ee523a2206206994597c13d831ec7
0x027ce48b9b346728557e8d420fe936a72bf9b1c7,0x02f92800f57bcd74066f5709f1daa1a4302df875
0x02e7ac540409d32c90bfb51114003a9e1ff0249c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x02f92800f57bcd74066f5709f1daa1a4302df875,0x1db1591540d7a6062be0837ca3c808add28844f6
0x02f92800f57bcd74066f5709f1daa1a4302df875,0x515e7fd1c29263dff8d987f15fa00c12cd10a49b
0x02f92800f57bcd74066f5709f1daa1a4302df875,0x6b175474e89094c44da98b954eedeac495271d0f
0x02f92800f57bcd74066f5709f1daa1a4302df875,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x02f92800f57bcd74066f5709f1daa1a4302df875,0xd6203889c22d9fe5e938a9200f50fdffe9dd8e02
0x037a54aab062628c9bbae1fdb1583c195585fe41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x03aa6298f1370642642415edc0db8b957783e8d6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x03be5c903c727ee2c8c4e9bc0acc860cca4715e2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0403a52fcb05e303bfc0246c5861a81ab09c1e8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x044ca854fa227e27e07652b7f6a6b578703f3945,0xdac17f958d2ee523a2206206994597c13d831ec7
0x044d078f1c86508e13328842cc75ac021b272958,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x044e874f23f9a7e5dad696554a116c4bb62fecb7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,0xdac17f958d2ee523a2206206994597c13d831ec7
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,0xff541139c60bb38ce2159a13d656f0f38aa96ff4
0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x04e69ff14a86e1ca9a155a8563e95887973ee175,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x04f121600c8c47a754636fc9d75661a9525e05d5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x05420964224507657ff48bd62d74249cadce8a15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0581ccdf2d9bca21baeff8b32b2551fd49cf70aa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x05be1d4c307c19450a6fd7ce7307ce72a3829a60,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x06450dee7fd2fb8e39061434babcfc05599a6fb8,0x80f0c1c49891dcfdd40b6e0f960f84e6042bcb6f
0x06450dee7fd2fb8e39061434babcfc05599a6fb8,0xb48eb8368c9c6e9b0734de1ef4ceb9f484b80b9c
0x06450dee7fd2fb8e39061434babcfc05599a6fb8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x064797ac7f833d01faeeae0e69f3af5a52a91fc8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
